Nama CPU,CPU Mark
06/5f,"5,830"
AArch64,833
AArch64 rev 2 (aarch64),"2,411"
AArch64 rev 4 (aarch64),"1,813"
AC8257V/WAB,827
AC8259V/WAB,940
Allwinner A133,666
Allwinner A333,"1,289"
Allwinner A523,"1,904"
Allwinner A527,"2,187"
Allwinner A733,"3,109"
Allwinner H618,653
Allwinner h728,"1,953"
AMD 3015Ce,"2,099"
AMD 3015e,"2,621"
AMD 3020e,"2,406"
AMD 4700S,"17,649"
AMD A10 Micro 6700T APU,"1,426"
AMD A10 PRO 7350B APU,"1,862"
AMD A10 PRO 7800B APU,"3,311"
AMD A10 PRO 7850B APU,"3,441"
AMD A10 4600M APU,"1,945"
AMD A10 4655M APU,"1,654"
AMD A10 4657M APU,"1,759"
AMD A10 5700 APU,"2,747"
AMD A10 5745M APU,"1,767"
AMD A10 5750M APU,"2,042"
AMD A10 5757M APU,"1,997"
AMD A10 5800B APU,"3,027"
AMD A10 5800K APU,"2,968"
AMD A10 6700 APU,"3,108"
AMD A10 6700T APU,"2,299"
AMD A10 6790B APU,"1,416"
AMD A10 6790K APU,"3,112"
AMD A10 6800B APU,"3,155"
AMD A10 6800K APU,"3,196"
AMD A10 7300 APU,"1,736"
AMD A10 7400P,"2,134"
AMD A10 7700K APU,"3,195"
AMD A10 7800 APU,"3,212"
AMD A10 7850K APU,"3,394"
AMD A10 7860K,"3,268"
AMD A10 7870K,"3,503"
AMD A10 7890K,"3,535"
AMD A10 8700P,"2,265"
AMD A10 8750,"3,254"
AMD A10 8850,"3,438"
AMD A10 9600P,"2,332"
AMD A10 9620P,"2,504"
AMD A10 9630P,"3,041"
AMD A10 9700,"3,550"
AMD A10 9700E,"3,250"
AMD A12 9700P,"2,424"
AMD A12 9720P,"2,621"
AMD A12 9730P,"2,979"
AMD A12 9800,"3,695"
AMD A12 9800E,"3,416"
AMD A4 Micro 6400T APU,"1,082"
AMD A4 PRO 3340B,"1,709"
AMD A4 PRO 7300B APU,"1,458"
AMD A4 PRO 7350B,"1,544"
AMD A4 1200 APU,375
AMD A4 1250 APU,421
AMD A4 1350 APU,911
AMD A4 3300 APU,956
AMD A4 3300M APU,728
AMD A4 3305M APU,767
AMD A4 3310MX APU,800
AMD A4 3320M APU,668
AMD A4 3330MX APU,761
AMD A4 3400 APU,"1,066"
AMD A4 3420 APU,"1,067"
AMD A4 4000 APU,"1,149"
AMD A4 4020 APU,"1,269"
AMD A4 4300M APU,967
AMD A4 4355M APU,806
AMD A4 5000 APU,"1,283"
